City/Town,Ward,Pct,"Jim Douglas",Write-Ins,Blanks,"Total Votes Cast"
,,,
Addison,,,46,0,0,46
Albany,,,32,2,0,34
Alburgh,,,16,0,0,16
Andover,,,15,0,0,15
Arlington,,,49,0,0,49
Athens,,,6,0,0,6
Bakersfield,,,51,1,0,52
Baltimore,,,9,0,0,9
Barnard,,,20,0,0,20
Barnet,,,65,0,0,65
"Barre City",-,"Washington 3-1",76,2,0,78
"Barre City",-,"Washington 3-2",37,0,0,37
"Barre City",-,"Washington 3-3",9,0,0,9
"Barre Town",,,228,3,0,231
Barton,,,79,1,0,80
Belvidere,,,11,0,0,11
Bennington,-,"Bennington 2-1",41,0,0,41
Bennington,-,"Bennington 2-2",33,0,0,33
Bennington,-,"Bennington 5",8,0,0,8
Benson,,,22,0,0,22
Berkshire,,,31,0,0,31
Berlin,,,42,2,0,44
Bethel,,,39,0,0,39
Bloomfield,,,13,3,0,16
Bolton,,,16,0,0,16
Bradford,,,71,7,0,78
Braintree,,,51,0,0,51
Brandon,,,101,3,0,104
Brattleboro,-,"Windham 3-1",32,0,0,32
Brattleboro,-,"Windham 3-2",21,0,0,21
Brattleboro,-,"Windham 3-3",15,0,0,15
Bridgewater,,,19,0,0,19
Bridport,,,45,2,0,47
Brighton,,,41,0,0,41
Bristol,,,43,1,0,44
Brookfield,,,39,2,0,41
Brookline,,,14,0,0,14
Brownington,,,15,3,0,18
Brunswick,,,11,2,0,13
Burke,,,44,1,0,45
Burlington,-,"Chittenden 3-1",188,2,0,190
Burlington,-,"Chittenden 3-2",58,1,0,59
Burlington,-,"Chittenden 3-3",33,6,0,39
Burlington,-,"Chittenden 3-4",21,0,0,21
Burlington,-,"Chittenden 3-5",88,2,0,90
Burlington,-,"Chittenden 3-6",6,0,0,6
Cabot,,,15,0,0,15
Calais,,,22,1,0,23
Cambridge,,,38,0,0,38
Canaan,,,52,1,0,53
Castleton,,,34,0,0,34
Cavendish,,,25,0,0,25
Charleston,,,15,0,0,15
Charlotte,,,21,3,0,24
Chelsea,,,27,0,0,27
Chester,,,85,0,0,85
Chittenden,,,26,0,0,26
Clarendon,,,61,0,0,61
Colchester,-,"Chittenden 7-1",20,1,0,21
Colchester,-,"Chittenden 7-2",48,0,0,48
Concord,,,118,2,0,120
Corinth,,,33,0,0,33
Cornwall,,,20,0,0,20
Coventry,,,66,2,0,68
Craftsbury,,,29,5,0,34
Danby,,,89,1,0,90
Danville,,,102,0,0,102
Derby,,,79,4,0,83
Dorset,,,63,0,0,63
Dover,,,26,0,0,26
Dummerston,,,36,2,0,38
Duxbury,,,26,0,0,26
"E. Haven",,,17,0,0,17
"E. Montpelier",,,53,0,0,53
Eden,,,9,2,0,11
Elmore,,,11,0,0,11
Enosburgh,,,161,4,0,165
Essex,-,"Chittenden 6-1",59,0,0,59
Essex,-,"Chittenden 6-2",80,1,0,81
Essex,-,"Chittenden 6-3",15,0,0,15
"Fair Haven",,,36,0,0,36
Fairfax,,,67,1,0,68
Fairfield,,,20,0,0,20
Fairlee,,,35,0,0,35
Fayston,,,12,0,0,12
Ferrisburgh,,,32,0,0,32
Fletcher,,,7,0,0,7
Franklin,,,39,0,0,39
Georgia,,,74,1,0,75
Glover,,,37,16,0,53
Goshen,,,5,0,0,5
Grafton,,,13,0,0,13
Granby,,,17,0,0,17
"Grand Isle",,,45,0,0,45
Granville,,,6,0,0,6
Greensboro,,,16,0,0,16
Groton,,,50,1,0,51
Guildhall,,,37,1,0,38
Guilford,,,16,0,0,16
Halifax,,,13,0,0,13
Hancock,,,6,2,0,8
Hardwick,,,33,1,0,34
Hartford,-,"Windsor 6-1",17,0,0,17
Hartford,-,"Windsor 6-2",64,0,0,64
Hartland,,,49,0,0,49
Highgate,,,60,1,0,61
Hinesburg,-,"Chittenden 1-1",46,1,0,47
Hinesburg,-,"Chittenden 1-2",1,0,0,1
Holland,,,17,0,0,17
Hubbardton,,,15,1,0,16
Huntington,,,29,0,0,29
"Hyde Park",,,21,0,0,21
Ira,-,"Rutland Rutland 1-1",0,0,0,0
Ira,-,"Rutland Rutland 1-2",15,0,0,15
Irasburg,,,38,1,0,39
"Isle La Motte",,,8,0,0,8
Jamaica,,,21,0,0,21
Jay,,,8,0,0,8
Jericho,,,75,1,0,76
Johnson,,,12,0,0,12
Killington,,,19,0,0,19
Kirby,,,24,1,0,25
Leicester,,,53,0,0,53
Lemington,,,5,0,0,5
Lincoln,,,46,1,0,47
Londonderry,,,26,1,0,27
Lowell,,,29,0,0,29
Ludlow,,,43,1,0,44
Lunenburg,,,114,5,0,119
Lyndon,,,103,3,0,106
Maidstone,,,21,1,0,22
Manchester,,,84,0,0,84
Marlboro,,,12,0,0,12
Marshfield,,,22,0,0,22
Mendon,,,191,0,0,191
Middlebury,,,37,1,0,38
Middlesex,,,30,0,0,30
"Middletown Springs",,,15,0,0,15
Milton,-,"Chittenden 9",209,1,0,210
Milton,-,"Grand Isle-Chittenden 1-1",33,0,0,33
Monkton,,,25,1,0,26
Montgomery,,,4,1,0,5
Montpelier,,,110,7,0,117
Moretown,,,42,0,0,42
Morgan,,,19,0,0,19
Morristown,,,48,0,0,48
"Mount Holly",,,31,1,0,32
"Mount Tabor",,,1,1,0,2
"New Haven",,,22,0,0,22
Newark,,,26,1,0,27
Newbury,-,"Center Town House",44,1,0,45
Newbury,-,"Town Office",23,0,0,23
Newbury,-,"West River Village",16,0,0,16
Newfane,,,14,1,0,15
"Newport City",,,162,4,0,166
"Newport Town",,,40,2,0,42
"N. Hero",,,16,0,0,16
Northfield,,,79,1,0,80
Norton,,,14,1,0,15
Norwich,,,33,0,0,33
Orange,,,23,1,0,24
Orwell,,,31,0,0,31
Panton,,,11,0,0,11
Pawlet,,,25,0,0,25
Peacham,,,27,0,0,27
Peru,,,10,0,0,10
Pittsfield,,,25,0,0,25
Pittsford,,,29,2,0,31
Plainfield,,,13,0,0,13
Plymouth,,,13,0,0,13
Pomfret,,,21,0,0,21
Poultney,,,43,1,0,44
Pownal,,,28,0,0,28
Proctor,,,16,0,0,16
Putney,,,27,0,0,27
Randolph,,,178,4,0,182
Reading,,,13,0,0,13
Readsboro,,,18,0,0,18
Richford,,,33,0,0,33
Richmond,,,113,0,0,113
Ripton,,,4,0,0,4
Rochester,,,32,0,0,32
Rockingham,,,48,0,0,48
Roxbury,,,8,1,0,9
Royalton,,,48,0,0,48
Rupert,,,16,0,0,16
"Rutland City",-,"Rutland 5-1",72,0,0,72
"Rutland City",-,"Rutland 5-2",71,0,0,71
"Rutland City",-,"Rutland 5-3",42,1,0,43
