City/Town,Ward,Pct,"No Nomination",Write-Ins,Blanks,"Total Votes Cast"
,,
Burlington,-,"Chittenden 6-1",-,0,36,36
Burlington,-,"Chittenden 6-2",-,0,0,0
Burlington,-,"Chittenden 6-3",-,6,12,18
Burlington,-,"Chittenden 6-4",-,0,12,12
Burlington,-,"Chittenden 6-5",-,0,0,0
Burlington,-,"Chittenden 6-6",-,0,0,0
Burlington,-,"Chittenden 6-7",-,0,0,0
Essex,-,"Chittenden 8-1",-,0,0,0
Essex,-,"Chittenden 8-2",-,0,6,6
Essex,-,"Chittenden 8-3",-,0,0,0
Hinesburg,-,"Chittenden 4-1",-,0,0,0
Hinesburg,-,"Chittenden 4-2",-,0,6,6
Milton,-,"Chittenden 10",-,0,12,12
Milton,-,"Grand Isle-Chittenden",-,0,0,0
Richmond,-,"Chittenden 1",-,0,6,0
Shelburne,-,"Chittenden 5-1",-,0,0,0
Shelburne,-,"Chittenden 5-2",-,0,6,6
Underhill,-,"Chittenden 3",-,0,12,0
Williston,-,"Chittenden 2",-,1,5,0
Winooski,-,"Chittenden 6-7",-,0,12,0
TOTALS,,,-,7,125,132
