City/Town,Ward,Pct,"Susan A. Davis","Boots Wardinski",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Andover,,,0,1,0,0,1
Bakersfield,,,1,0,1,0,2
Baltimore,,,0,1,0,0,1
Barnet,,,2,0,0,0,2
"Barre City",-,"Washington 3-1",0,0,2,0,2
"Barre City",-,"Washington 3-2",3,1,0,0,4
"Barre City",-,"Washington 3-3",0,0,0,0,0
"Barre Town",,,0,2,1,0,3
Bennington,-,"Bennington 2-1",4,5,1,0,10
Bennington,-,"Bennington 2-1 Nb",0,1,0,0,1
Bennington,-,"Bennington 2-2",3,2,0,0,5
Bennington,-,"Bennington 5",0,0,0,0,0
Berlin,,,0,0,2,0,2
Bethel,,,1,1,0,0,2
Bloomfield,,,0,1,0,0,1
Bradford,,,0,0,1,0,1
Brandon,,,3,2,0,0,5
Brattleboro,-,"Windham 3-1",12,5,0,0,17
Brattleboro,-,"Windham 3-2",7,4,3,0,14
Brattleboro,-,"Windham 3-3",20,17,1,0,38
Bridgewater,,,1,0,1,0,2
Bristol,,,0,1,0,0,1
Burlington,-,"Chittenden 3-1",0,1,6,0,7
Burlington,-,"Chittenden 3-2",0,0,7,0,7
Burlington,-,"Chittenden 3-3",0,13,23,0,36
Burlington,-,"Chittenden 3-4",0,8,13,0,21
Burlington,-,"Chittenden 3-5",0,8,24,0,32
Burlington,-,"Chittenden 3-6",0,0,2,0,2
Cabot,,,1,1,1,0,3
Cambridge,,,4,0,1,0,5
Castleton,,,0,1,0,0,1
Charleston,,,1,0,1,0,2
Chelsea,,,0,1,0,0,1
Clarendon,,,0,1,0,0,1
Colchester,-,"Chittenden 7-1",2,0,0,0,2
Colchester,-,"Chittenden 7-2",0,2,0,0,2
Corinth,,,1,1,0,0,2
Coventry,,,0,1,0,0,1
Danville,,,0,0,2,0,2
Derby,,,3,2,1,0,6
Dover,,,0,1,0,0,1
Dummerston,,,4,2,0,0,6
Duxbury,,,1,0,0,0,1
"E. Montpelier",,,8,0,0,0,8
Elmore,,,2,0,0,0,2
Enosburgh,,,2,1,0,0,3
Essex,-,"Chittenden 6-1",0,2,0,0,2
Essex,-,"Chittenden 6-2",2,1,1,0,4
Essex,-,"Chittenden 6-3",0,0,0,0,0
"Fair Haven",,,0,3,0,0,3
Fairfax,,,0,1,0,0,1
Fairfield,,,1,0,1,0,2
Fairlee,,,1,2,0,0,3
Glover,,,1,2,0,0,3
"Grand Isle",,,4,1,0,0,5
Groton,,,2,1,1,0,4
Guilford,,,8,3,0,0,11
Halifax,,,1,0,0,0,1
Hancock,,,0,1,0,0,1
Hartford,-,"Windsor 6-1",0,0,0,0,0
Hartford,-,"Windsor 6-2",1,2,0,0,3
Hartland,,,1,1,0,0,2
Highgate,,,0,1,0,0,1
Hinesburg,-,"Chittenden 1-1",2,0,0,0,2
Hinesburg,-,"Chittenden 1-2",0,0,0,0,0
Holland,,,5,3,0,0,8
Huntington,,,0,1,0,0,1
"Hyde Park",,,0,1,0,0,1
"Isle La Motte",,,0,1,1,0,2
Johnson,,,1,0,0,0,1
Kirby,,,0,2,0,0,2
Landgrove,,,2,0,0,0,2
Leicester,,,0,1,0,0,1
Lincoln,,,0,1,0,0,1
Londonderry,,,0,2,1,0,3
Lowell,,,0,1,0,0,1
Ludlow,,,0,5,0,0,5
Lyndon,,,4,0,0,0,4
Manchester,,,0,1,0,0,1
