City/Town,Ward,Pct,"Steve Hingtgen",Write-Ins,Blanks,"Total Votes Cast"
,,,
Andover,,,1,0,0,1
Bakersfield,,,2,0,0,2
Baltimore,,,1,0,0,1
Barnet,,,2,0,0,2
"Barre City",-,"Washington 3-1",2,0,0,2
"Barre City",-,"Washington 3-2",4,0,0,4
"Barre City",-,"Washington 3-3",0,0,0,0
"Barre Town",,,2,1,0,3
Bennington,-,"Bennington 2-1",9,2,0,11
Bennington,-,"Bennington 2-1 Nb",2,0,0,2
Bennington,-,"Bennington 2-2",6,0,0,6
Bennington,-,"Bennington 5",0,0,0,0
Benson,,,1,0,0,1
Berlin,,,2,0,0,2
Bethel,,,2,0,0,2
Bloomfield,,,1,0,0,1
Bradford,,,1,0,0,1
Brandon,,,5,0,0,5
Brattleboro,-,"Windham 3-1",15,2,0,17
Brattleboro,-,"Windham 3-2",17,1,0,18
Brattleboro,-,"Windham 3-3",33,5,0,38
Bridgewater,,,4,0,0,4
Bristol,,,1,0,0,1
Brownington,,,1,0,0,1
Burlington,-,"Chittenden 3-1",5,2,0,7
Burlington,-,"Chittenden 3-2",10,0,0,10
Burlington,-,"Chittenden 3-3",42,5,0,47
Burlington,-,"Chittenden 3-4",23,1,0,24
Burlington,-,"Chittenden 3-5",36,3,0,39
Burlington,-,"Chittenden 3-6",3,0,0,3
Cabot,,,2,1,0,3
Cambridge,,,5,0,0,5
Castleton,,,0,1,0,1
Charleston,,,1,1,0,2
Chelsea,,,1,0,0,1
Clarendon,,,1,0,0,1
Colchester,-,"Chittenden 7-1",2,0,0,2
Colchester,-,"Chittenden 7-2",2,0,0,2
Corinth,,,3,0,0,3
Coventry,,,1,0,0,1
Danville,,,2,0,0,2
Derby,,,4,2,0,6
Dover,,,1,0,0,1
Dummerston,,,6,0,0,6
Duxbury,,,1,0,0,1
"E. Montpelier",,,8,0,0,8
Elmore,,,2,0,0,2
Enosburgh,,,5,0,0,5
Essex,-,"Chittenden 6-1",3,0,0,3
Essex,-,"Chittenden 6-2",4,1,0,5
Essex,-,"Chittenden 6-3",0,0,0,0
"Fair Haven",,,2,1,0,3
Fairfax,,,1,0,0,1
Fairfield,,,2,0,0,2
Fairlee,,,4,0,0,4
Franklin,,,2,0,0,2
Glover,,,3,0,0,3
"Grand Isle",,,4,0,0,4
Groton,,,3,1,0,4
Guilford,,,12,0,0,12
Halifax,,,1,0,0,1
Hancock,,,1,0,0,1
Hartford,-,"Windsor 6-1",0,0,0,0
Hartford,-,"Windsor 6-2",3,0,0,3
Hartland,,,2,0,0,2
Highgate,,,1,1,0,2
Hinesburg,-,"Chittenden 1-1",3,0,0,3
Hinesburg,-,"Chittenden 1-2",0,0,0,0
Holland,,,7,0,0,7
Huntington,,,2,0,0,2
"Hyde Park",,,1,0,0,1
"Isle La Motte",,,1,1,0,2
Jericho,,,1,0,0,1
Johnson,,,1,0,0,1
Kirby,,,2,0,0,2
Landgrove,,,2,0,0,2
Leicester,,,1,0,0,1
Lincoln,,,1,0,0,1
Londonderry,,,2,1,0,3
Lowell,,,1,0,0,1
Ludlow,,,5,0,0,5
Lyndon,,,4,0,0,4
Manchester,,,2,0,0,2
Marlboro,,,17,3,0,20
Marshfield,,,6,0,0,6
Middlebury,,,7,2,0,9
Middlesex,,,4,1,0,5
"Middletown Springs",,,4,0,0,4
Milton,-,"Chittenden 9",1,0,0,1
Milton,-,"Grand Isle-Chittenden 1-1",0,0,0,0
Monkton,,,3,1,0,4
Montgomery,,,1,0,0,1
Montpelier,,,32,2,0,34
Morristown,,,1,0,0,1
"Mount Holly",,,2,0,0,2
"New Haven",,,1,0,0,1
Newbury,-,"Center Town House",0,0,0,0
Newbury,-,"Town Office",0,0,0,0
Newbury,-,"West River Village",2,0,0,2
Newfane,,,2,0,0,2
"Newport City",,,2,0,0,2
Northfield,,,2,0,0,2
Norwich,,,12,2,0,14
Orwell,,,2,0,0,2
Pawlet,,,1,0,0,1
Peacham,,,2,0,0,2
Pittsfield,,,2,0,0,2
Pittsford,,,1,0,0,1
Plainfield,,,4,0,0,4
Poultney,,,2,0,0,2
Pownal,,,1,0,0,1
Putney,,,7,0,0,7
Randolph,,,5,0,0,5
Reading,,,1,0,0,1
Readsboro,,,1,0,0,1
Richford,,,1,0,0,1
Richmond,,,2,0,0,2
Rochester,,,4,1,0,5
Rockingham,,,5,0,0,5
Roxbury,,,1,0,0,1
Royalton,,,1,1,0,2
Rupert,,,2,0,0,2
"Rutland City",-,"Rutland 5-1",0,0,0,0
"Rutland City",-,"Rutland 5-2",0,1,0,1
"Rutland City",-,"Rutland 5-3",0,0,0,0
"Rutland City",-,"Rutland 5-4",1,0,0,1
"Rutland Town",,,3,0,0,3
Sandgate,,,1,0,0,1
Shaftsbury,,,4,1,0,5
Sharon,,,10,1,0,11
Shelburne,-,"Chittenden 5-1",4,0,0,4
Shelburne,-,"Chittenden 5-2",1,0,0,1
Shoreham,,,0,1,0,1
Shrewsbury,,,2,0,0,2
"S. Burlington",-,"Chittenden 3-10",5,0,0,5
"S. Burlington",-,"Chittenden 3-7",1,0,0,1
"S. Burlington",-,"Chittenden 3-8",2,0,0,2
"S. Burlington",-,"Chittenden 3-9",0,0,0,0
"S. Hero",,,1,0,0,1
Springfield,-,"Windsor 1-1",0,0,0,0
Springfield,-,"Windsor 1-2",2,1,0,3
"St. Albans City",,,4,0,0,4
"St. Albans Town",,,2,0,0,2
"St. Johnsbury",,,6,0,0,6
Stamford,,,0,1,0,1
Stockbridge,,,2,0,0,2
Stowe,,,1,0,0,1
Strafford,,,1,1,0,2
Sunderland,,,1,0,0,1
Thetford,,,2,0,0,2
Underhill,,,6,0,0,6
Vergennes,,,1,0,0,1
Vershire,,,2,0,0,2
Waitsfield,,,2,1,0,3
Walden,,,3,0,0,3
Warren,,,2,0,0,2
Waterbury,,,0,1,0,1
Weathersfield,,,6,0,0,6
Wells,,,3,0,0,3
"W. Haven",,,1,0,0,1
"W. Rutland",,,1,0,0,1
"W. Windsor",,,0,1,0,1
Westfield,,,3,1,0,4
Westford,,,1,0,0,1
Westminster,-,Windham-4,0,1,0,1
Westminster,-,Windham-5,4,0,0,4
Weybridge,,,1,0,0,1
Wheelock,,,1,0,0,1
Whiting,,,1,0,0,1
Whitingham,,,1,0,0,1
Williston,,,10,0,0,10
Windsor,,,1,1,0,2
Winhall,,,1,0,0,1
Wolcott,,,2,1,0,3
Woodbury,,,2,0,0,2
Woodstock,,,1,0,0,1
Worcester,,,1,0,0,1
TOTALS,,,621,60,0,681
