City/Town,Ward,Pct,"Peter Clavelle",Write-Ins,Blanks,"Total Votes Cast"
,,,
Addison,,,66,5,0,71
Albany,,,37,1,0,38
Alburgh,,,30,4,0,34
Andover,,,29,1,0,30
Arlington,,,87,2,0,89
Athens,,,10,0,0,10
Bakersfield,,,37,3,0,40
Baltimore,,,11,1,0,12
Barnard,,,44,0,0,44
Barnet,,,45,1,0,46
"Barre City",-,"Washington 3-1",106,8,0,114
"Barre City",-,"Washington 3-2",73,5,0,78
"Barre City",-,"Washington 3-3",18,0,0,18
"Barre Town",,,263,28,0,291
Barton,-,"Barton Memorial",49,19,0,68
Barton,-,"Orleans Memorial",24,6,0,30
Belvidere,,,4,2,0,6
Bennington,-,"Bennington 2-1",100,5,0,105
Bennington,-,"Bennington 2-1 Nb",56,4,0,60
Bennington,-,"Bennington 2-2",117,7,0,124
Bennington,-,"Bennington 5",6,0,0,6
Benson,,,36,0,0,36
Berkshire,,,29,3,0,32
Berlin,,,59,3,0,62
Bethel,,,126,9,0,135
Bloomfield,,,9,0,0,9
Bolton,,,40,3,0,43
Bradford,,,262,45,0,307
Braintree,,,39,2,0,41
Brandon,,,179,13,0,192
Brattleboro,-,"Windham 3-1",259,4,0,263
Brattleboro,-,"Windham 3-2",264,8,0,272
Brattleboro,-,"Windham 3-3",301,17,0,318
Bridgewater,,,45,1,0,46
Bridport,,,72,9,0,81
Brighton,,,35,2,0,37
Bristol,,,166,15,0,181
Brookfield,,,78,2,0,80
Brookline,,,23,1,0,24
Brownington,,,26,2,0,28
Brunswick,,,6,0,0,6
Burke,,,22,2,0,24
Burlington,-,"Chittenden 3-1",369,37,0,406
Burlington,-,"Chittenden 3-2",180,12,0,192
Burlington,-,"Chittenden 3-3",247,21,0,268
Burlington,-,"Chittenden 3-4",203,6,0,209
Burlington,-,"Chittenden 3-5",535,24,0,559
Burlington,-,"Chittenden 3-6",64,7,0,71
Cabot,,,64,6,0,70
Calais,,,270,9,0,279
Cambridge,,,70,11,0,81
Canaan,,,22,1,0,23
Castleton,,,57,2,0,59
Cavendish,,,64,2,0,66
Charleston,,,13,1,0,14
Charlotte,,,370,8,0,378
Chelsea,,,40,3,0,43
Chester,,,137,2,0,139
Chittenden,,,32,0,0,32
Clarendon,,,94,9,0,103
Colchester,-,"Chittenden 7-1",121,6,0,127
Colchester,-,"Chittenden 7-2",116,9,0,125
Concord,,,23,0,0,23
Corinth,,,85,1,0,86
Cornwall,,,104,11,0,115
Coventry,,,24,1,0,25
Craftsbury,,,68,7,0,75
Danby,,,84,2,0,86
Danville,,,65,4,0,69
Derby,,,88,11,0,99
Dorset,,,59,0,0,59
Dover,,,31,6,0,37
Dummerston,,,119,2,0,121
Duxbury,,,67,2,0,69
"E. Haven",,,3,0,0,3
"E. Montpelier",,,118,2,0,120
Eden,,,19,4,0,23
Elmore,,,37,2,0,39
Enosburgh,,,65,7,0,72
Essex,-,"Chittenden 6-1",166,8,0,174
Essex,-,"Chittenden 6-2",204,18,0,222
Essex,-,"Chittenden 6-3",72,3,0,75
"Fair Haven",,,46,7,0,53
Fairfax,,,90,9,0,99
Fairfield,,,52,15,0,67
Fairlee,,,75,10,0,85
Fayston,,,41,1,0,42
Ferrisburgh,,,122,7,0,129
Fletcher,,,28,0,0,28
Franklin,,,28,5,0,33
Georgia,,,56,7,0,63
Glover,,,30,5,0,35
Goshen,,,26,0,0,26
Grafton,,,37,0,0,37
Granby,,,1,0,0,1
"Grand Isle",,,82,10,0,92
Granville,,,7,1,0,8
Greensboro,,,55,4,0,59
Groton,,,28,1,0,29
Guildhall,,,4,1,0,5
Guilford,,,123,7,0,130
Halifax,,,27,0,0,27
Hancock,,,9,2,0,11
Hardwick,,,139,11,0,150
