City/Town,Ward,Pct,"John V. Labarge",Write-Ins,Blanks,"Total Votes Cast"
,,,
Addison,,,122,0,0,122
Albany,,,47,0,0,47
Alburgh,,,71,0,0,71
Andover,,,29,0,0,29
Arlington,,,114,0,0,114
Athens,,,21,0,0,21
Bakersfield,,,12,0,0,12
Baltimore,,,8,0,0,8
Barnard,,,37,0,0,37
Barnet,,,54,0,0,54
"Barre City",-,"Washington 3-1",97,0,0,97
"Barre City",-,"Washington 3-2",61,0,0,61
"Barre City",-,"Washington 3-3",3,0,0,3
"Barre Town",,,338,0,0,338
Barton,-,"Barton Memorial",50,0,0,50
Barton,-,"Orleans Memorial",31,0,0,31
Belvidere,,,35,0,0,35
Bennington,-,"Bennington 2-1",130,0,0,130
Bennington,-,"Bennington 2-1 Nb",20,0,0,20
Bennington,-,"Bennington 2-2",159,0,0,159
Bennington,-,"Bennington 5",7,0,0,7
Benson,,,24,0,0,24
Berkshire,,,21,0,0,21
Berlin,,,66,0,0,66
Bethel,,,81,0,0,81
Bloomfield,,,12,0,0,12
Bolton,,,24,0,0,24
Bradford,,,131,0,0,131
Braintree,,,59,0,0,59
Brandon,,,333,0,0,333
Brattleboro,-,"Windham 3-1",83,0,0,83
Brattleboro,-,"Windham 3-2",67,0,0,67
Brattleboro,-,"Windham 3-3",49,0,0,49
Bridgewater,,,35,0,0,35
Bridport,,,86,0,0,86
Brighton,,,45,0,0,45
Bristol,,,145,0,0,145
Brookfield,,,67,0,0,67
Brookline,,,29,0,0,29
Brownington,,,28,0,0,28
Brunswick,,,6,0,0,6
Burke,,,94,0,0,94
Burlington,-,"Chittenden 3-1 Ward 4",136,0,0,136
Burlington,-,"Chittenden 3-1 Ward 7",52,0,0,52
Burlington,-,"Chittenden 3-2 Ward 2",3,0,0,3
Burlington,-,"Chittenden 3-2 Ward 3",1,0,0,1
Burlington,-,"Chittenden 3-2 Ward 4",29,0,0,29
Burlington,-,"Chittenden 3-2 Ward 7",54,0,0,54
Burlington,-,"Chittenden 3-3 Ward 2",10,0,0,10
Burlington,-,"Chittenden 3-3 Ward 3",25,0,0,25
Burlington,-,"Chittenden 3-3 Ward 5",3,0,0,3
Burlington,-,"Chittenden 3-3 Ward 6",4,0,0,4
Burlington,-,"Chittenden 3-3 Ward 7",7,0,0,7
Burlington,-,"Chittenden 3-4 Ward 1",23,0,0,23
Burlington,-,"Chittenden 3-4 Ward 2",4,0,0,4
Burlington,-,"Chittenden 3-4 Ward 6",3,0,0,3
Burlington,-,"Chittenden 3-5 Ward 5",85,0,0,85
Burlington,-,"Chittenden 3-5 Ward 6",46,0,0,46
Burlington,-,"Chittenden 3-6 Ward 1",10,0,0,10
Cabot,,,16,0,0,16
Calais,,,41,0,0,41
Cambridge,,,126,0,0,126
Canaan,,,52,0,0,52
Castleton,,,118,0,0,118
Cavendish,,,41,0,0,41
Charleston,,,26,0,0,26
Charlotte,,,68,0,0,68
Chelsea,,,99,0,0,99
Chester,,,98,0,0,98
Chittenden,,,52,0,0,52
Clarendon,,,87,0,0,87
Colchester,-,"Chittenden 7-1",93,0,0,93
Colchester,-,"Chittenden 7-2",108,0,0,108
Concord,,,32,0,0,32
Corinth,,,59,0,0,59
Cornwall,,,46,0,0,46
Coventry,,,30,0,0,30
Craftsbury,,,30,0,0,30
Danby,,,70,0,0,70
Danville,,,92,0,0,92
Derby,,,152,0,0,152
Dorset,,,83,0,0,83
Dover,,,125,0,0,125
Dummerston,,,62,0,0,62
Duxbury,,,28,0,0,28
"E. Haven",,,13,0,0,13
"E. Montpelier",,,127,0,0,127
Eden,,,53,0,0,53
Elmore,,,82,0,0,82
Enosburgh,,,26,0,0,26
Essex,-,"Chittenden 6-1",124,0,0,124
Essex,-,"Chittenden 6-2",148,0,0,148
Essex,-,"Chittenden 6-3",34,0,0,34
"Fair Haven",,,95,0,0,95
Fairfax,,,160,0,0,160
Fairfield,,,17,0,0,17
Fairlee,,,36,0,0,36
Fayston,,,30,0,0,30
Ferrisburgh,,,211,0,0,211
Fletcher,,,14,0,0,14
Franklin,,,36,0,0,36
Georgia,,,192,0,0,192
Glover,,,49,0,0,49
Goshen,,,21,0,0,21
Grafton,,,24,0,0,24
Granby,,,17,0,0,17
"Grand Isle",,,147,0,0,147
Granville,,,7,0,0,7
Greensboro,,,22,0,0,22
Groton,,,68,0,0,68
Guildhall,,,20,0,0,20
Guilford,,,53,0,0,53
Halifax,,,34,0,0,34
Hancock,,,19,0,0,19
Hardwick,,,186,0,0,186
Hartford,-,"Windsor 6-1",101,0,0,101
Hartford,-,"Windsor 6-2",258,0,0,258
Hartland,,,119,0,0,119
Highgate,,,60,0,0,60
Hinesburg,-,"Chittenden 1-1",72,0,0,72
Hinesburg,-,"Chittenden 1-2",1,0,0,1
Holland,,,22,0,0,22
Hubbardton,,,19,0,0,19
Huntington,,,22,0,0,22
"Hyde Park",,,341,0,0,341
Ira,-,"Rutland 1-1",23,0,0,23
Ira,-,"Rutland 1-2",1,0,0,1
Irasburg,,,56,0,0,56
"Isle La Motte",,,19,0,0,19
Jamaica,,,32,0,0,32
Jay,,,8,0,0,8
Jericho,,,113,0,0,113
Johnson,,,172,0,0,172
Killington,,,81,0,0,81
Kirby,,,33,0,0,33
Landgrove,,,12,0,0,12
Leicester,,,60,0,0,60
Lemington,,,10,0,0,10
Lincoln,,,76,0,0,76
Londonderry,,,37,0,0,37
Lowell,,,17,0,0,17
Ludlow,,,58,0,0,58
Lunenburg,,,44,0,0,44
Lyndon,,,368,0,0,368
Maidstone,,,10,0,0,10
Manchester,,,167,0,0,167
Marlboro,,,18,0,0,18
Marshfield,,,30,0,0,30
Mendon,,,75,0,0,75
Middlebury,,,169,0,0,169
Middlesex,,,79,0,0,79
"Middletown Springs",,,50,0,0,50
Milton,-,"Chittenden 9",155,0,0,155
Milton,-,"Grand Isle-Chittenden 1-1",40,0,0,40
Monkton,,,50,0,0,50
Montgomery,,,16,0,0,16
Montpelier,,,195,0,0,195
Moretown,,,52,0,0,52
Morgan,,,45,0,0,45
Morristown,,,448,0,0,448
"Mount Holly",,,51,0,0,51
"Mount Tabor",,,6,0,0,6
"New Haven",,,160,0,0,160
Newark,,,23,0,0,23
Newbury,-,"Center Town House",24,0,0,24
Newbury,-,"Town Office",52,0,0,52
Newbury,-,"West River Village",42,0,0,42
Newfane,,,64,0,0,64
"Newport City",,,219,0,0,219
"Newport Town",,,50,0,0,50
"N. Hero",,,85,0,0,85
Northfield,,,152,0,0,152
Norton,,,17,0,0,17
Norwich,,,45,0,0,45
Orange,,,42,0,0,42
Orwell,,,64,0,0,64
Panton,,,62,0,0,62
Pawlet,,,54,0,0,54
Peacham,,,25,0,0,25
Peru,,,25,0,0,25
Pittsfield,,,29,0,0,29
Pittsford,,,115,0,0,115
Plainfield,,,27,0,0,27
Plymouth,,,23,0,0,23
Pomfret,,,36,0,0,36
Poultney,,,100,0,0,100
Pownal,,,90,0,0,90
Proctor,,,58,0,0,58
Putney,,,63,0,0,63
Randolph,,,240,0,0,240
Reading,,,19,0,0,19
Readsboro,,,19,0,0,19
Richford,,,36,0,0,36
Richmond,,,92,0,0,92
Ripton,,,16,0,0,16
Rochester,,,46,0,0,46
Rockingham,,,92,0,0,92
Roxbury,,,23,0,0,23
Royalton,,,98,0,0,98
Rupert,,,37,0,0,37
"Rutland City",-,"Rutland 5-1",239,0,0,239
"Rutland City",-,"Rutland 5-2",163,0,0,163
"Rutland City",-,"Rutland 5-3",99,0,0,99
"Rutland City",-,"Rutland 5-4",198,0,0,198
"Rutland Town",,,391,0,0,391
Ryegate,,,42,0,0,42
Salisbury,,,34,0,0,34
Sandgate,,,15,0,0,15
Searsburg,,,11,0,0,11
Shaftsbury,,,173,0,0,173
Sharon,,,22,0,0,22
Sheffield,,,24,0,0,24
Shelburne,-,"Chittenden 5-1",128,0,0,128
Shelburne,-,"Chittenden 5-2",106,0,0,106
Sheldon,,,37,0,0,37
Shoreham,,,84,0,0,84
Shrewsbury,,,54,0,0,54
"S. Burlington",-,"Chittenden 3-10",71,0,0,71
"S. Burlington",-,"Chittenden 3-7",98,0,0,98
"S. Burlington",-,"Chittenden 3-8",97,0,0,97
"S. Burlington",-,"Chittenden 3-9",99,0,0,99
"S. Hero",,,137,0,0,137
Springfield,-,"Windsor 1-1",7,0,0,7
Springfield,-,"Windsor 1-2",703,0,0,703
"St. Albans City",,,159,0,0,159
"St. Albans Town",,,104,0,0,104
"St. George",,,5,0,0,5
"St. Johnsbury",,,162,0,0,162
Stamford,,,35,0,0,35
Stannard,,,8,0,0,8
Starksboro,,,46,0,0,46
Stockbridge,,,21,0,0,21
Stowe,,,279,0,0,279
Strafford,,,33,0,0,33
